"","folio","ls","ls00","pid_link"
"798",191000,2,2,"0019100002"
"799",191000,3,3,"0019100003"
"800",191000,4,4,"0019100004"
"801",191000,5,5,"0019100005"
"802",191000,6,6,"0019100006"
"803",192000,1,1,"0019200001"
"804",192000,2,2,"0019200002"
"805",192000,3,3,"0019200003"
"806",192000,4,4,"0019200004"
"807",194000,1,1,"0019400001"
"808",194000,2,2,"0019400002"
"809",194000,3,3,"0019400003"
"810",194000,4,4,"0019400004"
"811",194000,5,5,"0019400005"
"812",194000,6,6,"0019400006"
"813",194000,7,7,"0019400007"
"814",195000,1,1,"0019500001"
"815",195000,2,2,"0019500002"
"816",195000,3,3,"0019500003"
"817",195000,4,4,"0019500004"
"818",195000,5,5,"0019500005"
"819",195000,6,6,"0019500006"
"820",195000,7,7,"0019500007"
"821",197000,1,1,"0019700001"
"822",197000,2,2,"0019700002"
"823",197000,3,3,"0019700003"
"824",197000,4,4,"0019700004"
"825",197000,5,5,"0019700005"
